,dealer_player,deck,hit_prob,stand_prob
68,[11 10],[0 0 2 0 3 3 2 1 1 0 1 1 0],1.0,0.0
69,[21 10],[0 0 2 0 3 3 2 1 1 1 1 1 0],0.0,1.0
70,[14  7],[0 1 0 1 0 1 3 1 1 1 1 1 2],0.5627989851180345,0.43720101488196544
71,[12 10],[1 0 1 1 1 0 1 1 3 1 0 2 1],0.5297910524908009,0.47020894750919906
72,[19 10],[1 0 1 1 1 0 2 1 3 1 0 2 1],0.0,1.0
73,[14  6],[0 0 2 1 3 1 0 1 1 0 2 2 0],0.4485461935376005,0.5514538064623996
74,[4 9],[1 2 1 0 2 0 1 0 2 2 1 1 0],1.0,0.0
75,[7 9],[1 2 2 0 2 0 1 0 2 2 1 1 0],1.0,0.0
76,[18  9],[2 2 2 0 2 0 1 0 2 2 1 1 0],0.0,1.0
77,[9 7],[0 1 0 1 1 1 2 1 1 1 2 1 1],1.0,0.0
78,[16  4],[1 1 0 2 0 0 2 1 3 1 0 2 0],0.42979388243794264,0.5702061175620573
79,[14  6],[1 1 0 1 0 2 0 3 1 1 1 2 0],0.48751191825915813,0.5124880817408418
80,[15  5],[0 2 1 1 4 0 0 0 2 1 0 0 2],0.36224926672767077,0.6377507332723292
81,[15 10],[0 1 1 1 2 0 2 0 0 0 2 3 1],0.5318800305228195,0.46811996947718043
82,[20  5],[0 0 1 1 3 0 1 2 1 1 1 2 0],0.0,1.0
83,[20 10],[2 3 0 0 1 0 0 0 1 1 1 2 2],0.0,1.0
84,[6 4],[0 2 2 3 0 0 1 1 0 1 2 0 1],1.0,0.0
85,[17 10],[1 0 0 0 1 2 2 2 0 1 1 2 1],0.0,1.0
86,[12 10],[0 2 2 0 1 1 0 1 0 1 0 3 2],0.6132936025684367,0.38670639743156343
87,[12 10],[0 1 1 1 0 0 0 2 1 2 0 1 4],0.5873733236709048,0.4126266763290952
88,[20  6],[0 1 1 1 0 3 1 0 1 1 1 1 2],0.0,1.0
89,[14 10],[1 1 3 0 2 2 0 1 1 0 2 0 0],0.5477919660464928,0.4522080339535072
90,[17  4],[2 1 0 2 0 1 2 0 0 0 2 1 2],0.0,1.0
91,[16  4],[1 1 2 1 2 0 0 2 0 0 2 2 0],0.35309393563432656,0.6469060643656734
92,[12 11],[1 1 0 3 0 2 0 1 1 2 1 1 0],0.5510276104117605,0.44897238958823954
93,[16  4],[1 0 0 3 2 1 1 0 1 1 2 1 0],0.35857075469181837,0.6414292453081817
94,[11  8],[1 0 1 2 0 2 1 2 0 0 3 0 1],1.0,0.0
95,[17  5],[2 4 0 1 1 1 0 1 0 2 0 1 0],0.0,1.0
